,index,IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year,Unnamed: 0.1,alloy_names,structure,phase_1,phase_2,phase_3,phase_4,phase_5,vol_phase1,vol_phase2,vol_phase3,vol_phase4,vol_phase5,alloy,density_kgm3,solidus,liquidus,Ac_Al,entropy_jmol,enthalpy_jmol,gibbs_jmol,Al,Co,Fe,Ni,Si,Cr,Mn,Nb,Mo,Ti,Cu,C,V,Zr,B,Sn,Ta,Hf,W,Zn,Re,Y,Phase_Weight_Min,Phase_BCC,Phase_BCC+BCC,Phase_BCC+Sec.,Phase_FCC,Phase_FCC+BCC,Phase_FCC+Sec.,Phase_No Data,Phase_Other,Density,Modulus,Cost,Tm,Misfit,Rbar,delta,shear,bulk,pugh,VEC,SMIX,ModulusMX,DensityMX,TmMX,R_MX,shearMX,bulkMX,VECMX
8,22,54,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,,7.7,,110.0,,25.0,,,,,216.0,,,,10.1016/j.jallcom.2009.08.090,2009,22,Al0.25 Co1 Cr1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.04040812038026715,0.9595918796197328,,,,Al0.25 Co1 Cr1 Fe1 Ni1,1389.9,1409.31,7495.869433333303,1.8761608069534078e-07,86.52480119404949,28508.013327198267,-81638.05859282672,0.05882352941176471,0.2352941176470588,0.2352941176470588,0.2352941176470588,,0.2352941176470588,,,,,,,,,,,,,,,,,FCC,0,0,0,1,0,0,0,0,7.87908383562045,215.64705882352942,12.16,1816.5482352941174,0.6029121107266436,125.76764705882351,0.03471053848550318,83.41176470588233,166.82352941176467,2.0,7.9411764705882355,1.5284657100610246,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
9,24,54,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,,7.5,,131.0,,25.0,,,,,211.0,,,,10.1016/j.jallcom.2009.08.090,2009,24,Al0.375 Co1 Cr1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.1753492790317233,0.8246507209682767,,,,Al0.375 Co1 Cr1 Fe1 Ni1,1357.26,1388.18,7409.9714754475735,2.0693990617772985e-07,84.88393220450439,24082.044391565123,-83975.20130476897,0.08571428571428573,0.2285714285714285,0.2285714285714285,0.2285714285714285,,0.2285714285714285,,,,,,,,,,,,,,,,,FCC,0,0,0,1,0,0,0,0,7.731057268888434,211.4857142857143,11.869714285714286,1791.3131428571426,0.8227186938775511,126.26485714285714,0.041090398092165685,81.77142857142857,164.22857142857143,2.008385744234801,7.8,1.5599775986391542,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
10,26,54,Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,,7.3,,159.0,,25.0,,,,,208.0,,,,10.1016/j.jallcom.2009.08.090,2009,26,Al0.5 Co1 Cr1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.29907376378102923,0.7009262362189708,,,,Al0.5 Co1 Cr1 Fe1 Ni1,1334.69,1365.91,7327.279190712255,2.3328231026532394e-07,83.34323446962159,19945.328556106284,-86150.608923722,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,,0.2222222222222222,,,,,,,,,,,,,,,,,FCC+BCC,0,0,0,0,1,0,0,0,7.5912544003082,207.55555555555557,11.595555555555553,1767.4799999999998,1.0175111111111108,126.73444444444442,0.04593362709782833,80.2222222222222,161.77777777777774,2.0166204986149587,7.666666666666668,1.5810937501718234,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
11,28,54,Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,,7.0,,388.0,,25.0,,,,,200.0,,,,10.1016/j.jallcom.2009.08.090,2009,28,Al0.75 Co1 Cr1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,SIGMA#1,,,0.5283317029671619,0.4052263313511741,0.06644196568166401,,,Al0.75 Co1 Cr1 Fe1 Ni1,1332.44,1361.41,7190.213960099216,3.005330703026807e-07,80.21547599503197,12070.245504734092,-90044.05543694158,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.21052631578947367,,0.21052631578947367,,,,,,,,,,,,,,,,,FCC+BCC,0,0,0,0,1,0,0,0,7.33372280029198,200.31578947368425,11.090526315789473,1723.576842105263,1.3437828254847644,127.59947368421051,0.05290643042436738,77.36842105263158,157.2631578947368,2.0326530612244897,7.421052631578947,1.6035681031705151,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
12,30,54,Al0.875 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,,6.9,,538.0,,25.0,,,,,197.0,,,,10.1016/j.jallcom.2009.08.090,2009,30,Al0.875 Co1 Cr1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,SIGMA#1,,,0.6550771339961362,0.16243161106459625,0.18249125493926768,,,Al0.875 Co1 Cr1 Fe1 Ni1,1332.38,1385.49,7156.217462323907,3.239599908728236e-07,78.36756992049153,7960.543319644619,-91801.37318914107,0.1794871794871795,0.20512820512820512,0.20512820512820512,0.20512820512820512,,0.20512820512820512,,,,,,,,,,,,,,,,,BCC,1,0,0,0,0,0,0,0,7.214862061822956,196.9743589743589,10.857435897435897,1703.313846153846,1.4801357001972388,127.99871794871794,0.05549803505486536,76.05128205128204,155.17948717948718,2.0404585300067435,7.3076923076923075,1.6080872774849808,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
13,32,54,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,,6.5,,487.0,,25.0,,,,,188.0,,,,10.1016/j.jallcom.2009.08.090,2009,32,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,SS+IM,BCC_B2#1,BCC_B2#2,,,,0.2419806159688559,0.7580193840311441,,,,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,1372.57,1440.92,6889.635141241202,6.972493730232177e-07,75.8026142139811,166.4175480344164,-96330.31034636352,0.2380952380952381,0.19047619047619047,0.19047619047619047,0.19047619047619047,,0.19047619047619047,,,,,,,,,,,,,,,,,BCC,1,0,0,0,0,0,0,0,6.8922400574070295,187.90476190476193,10.224761904761904,1648.3142857142857,1.8049197278911564,129.08238095238096,0.06106084379168625,72.47619047619048,149.52380952380952,2.0630749014454657,7.0,1.6050986596239585,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
14,34,54,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,,6.2,,484.0,,25.0,,,,,183.0,,,,10.1016/j.jallcom.2009.08.090,2009,34,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,SS+IM,BCC_B2#1,BCC_B2#2,,,,0.23252129387380835,0.7674787061261916,,,,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,1391.63,1465.91,6708.360048724649,1.4569564034352959e-06,74.3254527198204,-3971.0173598931774,-98587.31867222453,0.27262813522355506,0.1818429661941112,0.1818429661941112,0.1818429661941112,,0.1818429661941112,,,,,,,,,,,,,,,,,BCC,1,0,0,0,0,0,0,0,6.702145508049363,182.56079607415487,9.851979280261725,1615.9075790621594,1.9652785257923455,129.7208942202835,0.06352011117215384,70.36968375136313,146.1913849509269,2.077476793379721,6.818702290076335,1.5942068711394362,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
16,38,54,Al1 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,,6.7,,484.0,,25.0,,,,,194.0,,,,10.1016/j.jallcom.2009.08.090,2009,38,Al1 Co1 Cr1 Fe1 Ni1,SS+IM,BCC_B2#1,BCC_B2#2,SIGMA#1,,,0.22126745146095653,0.7346867968088496,0.044045751730193865,,,Al1 Co1 Cr1 Fe1 Ni1,1347.12,1406.68,7062.143540615294,3.4543338290717766e-07,77.6386083917439,5383.755516096053,-93450.19296659392,0.2,0.2,0.2,0.2,,0.2,,,,,,,,,,,,,,,,,BCC,1,0,0,0,0,0,0,0,7.1019443602773835,193.8,10.636,1684.064,1.601344,128.378,0.05766911951084501,74.80000000000003,153.2,2.048128342245989,7.200000000000001,1.6094379124341005,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
17,40,54,Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,,8.2,,116.0,,25.0,,,,,225.0,,,,10.1016/j.jallcom.2009.08.090,2009,40,Co1 Cr1 Fe1 Ni1,SS,FCC_L12#1,,,,,1.0,,,,,Co1 Cr1 Fe1 Ni1,1443.15,1446.49,7754.82119663362,0.0,87.01984222422941,35081.65101086715,-75694.60814057686,,0.25,0.25,0.25,,0.25,,,,,,,,,,,,,,,,,FCC,0,0,0,1,0,0,0,0,8.202891950346727,224.75,12.795,1871.75,0.07347500000000008,124.68,0.0029767955662328197,87.0,172.5,1.9827586206896552,8.25,1.3862943611198906,79.0,1.7157342635327018,452.0,0.9799999999999898,40.0,20.0,4.0
18,42,63,Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,CAST,,7.7,,425.0,,25.0,,,,,,,,,10.1007/s11837-013-0753-6,,42,Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,SIGMA#1,,,0.2937069043139236,0.20981536354264727,0.4964777321434291,,,Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,1313.5,1654.62,7767.4194151781885,1.5383582077005966e-07,80.74945896592568,16119.849071766741,-86674.21219185668,0.1,0.2,0.2,0.2,,0.2,,,0.1,,,,,,,,,,,,,,FCC+Sec.,0,0,0,0,0,1,0,0,7.854943459211284,219.7,21.436,1880.332,1.3279240000000003,127.687,0.04869863881807302,74.2,168.6,2.272237196765498,7.5,1.7480673485460896,259.0,7.529990989339018,1962.68,19.049999999999983,95.0,154.0,7.0
