,level_0,index,IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year,Unnamed: 0,alloy_names,structure,phase_1,phase_2,phase_3,phase_4,phase_5,vol_phase1,vol_phase2,vol_phase3,vol_phase4,vol_phase5,alloy,density_kgm3,solidus,liquidus,Ac_Al,entropy_jmol,enthalpy_jmol,gibbs_jmol,Al,Co,Fe,Ni,Si,Cr,Mn,Nb,Mo,Ti,Cu,C,V,Zr,B,Sn,Ta,Hf,W,Zn,Re,Y,Delta_SS,Phase_Weight_Min,Phase_BCC,Phase_BCC+BCC,Phase_BCC+Sec.,Phase_FCC,Phase_FCC+BCC,Phase_FCC+Sec.,Phase_No Data,Phase_Other,Density,Modulus,Cost,Tm,Misfit,Rbar,delta,shear,bulk,pugh,VEC,SMIX,ModulusMX,DensityMX,TmMX,R_MX,shearMX,bulkMX,VECMX
0,0,0,27,Al0.25 Co1 Fe1 Ni1,FCC,CAST,,7.9,,138.0,C,25.0,158.0,,,,196.0,,,,10.1016/j.jmmm.2014.07.023,2014,0,Al0.25 Co1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.01899247369138256,0.9810075263086174,,,,Al0.25 Co1 Fe1 Ni1,1412.32,1425.73,7699.385531005523,8.944551842917012e-08,85.50701943530186,23594.857283763373,-85255.57845737587,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.3076923076923077,,,,,,,,,,,,,,,,,,,757.0648561967529,FCC,0,0,0,1,0,0,0,0,8.090586171253424,196.15384615384616,13.132307692307695,1704.7169230769232,0.779084023668639,126.03153846153847,0.03937400021506519,73.6923076923077,168.92307692307693,2.292275574112735,8.538461538461538,1.2852930241200995,141.0,6.209281508345979,877.68,19.049999999999983,56.0,104.0,7.0
1,1,1,27,Al0.5 Co1 Fe1 Ni1,FCC+BCC,CAST,,7.4,,212.0,C,25.0,346.0,,,,187.0,,,,10.1016/j.jmmm.2014.07.023,2014,1,Al0.5 Co1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.451416232111425,0.5485837678885749,,,,Al0.5 Co1 Fe1 Ni1,1364.36,1375.31,7543.4192784700135,9.163243135265698e-08,81.505914238115,12329.606963477476,-91427.42186164293,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,,,,,,,,,,,,,,,,,,,996.8130641755881,FCC+BCC,0,0,0,0,1,0,0,0,7.705412444735323,187.14285714285714,12.337142857142858,1649.6171428571429,1.3081918367346939,127.25571428571428,0.05113747554175704,70.28571428571428,162.28571428571428,2.3089430894308944,8.142857142857142,1.351783994289646,141.0,6.209281508345979,877.68,19.049999999999983,56.0,104.0,7.0
2,2,2,27,Al0.75 Co1 Fe1 Ni1,FCC+BCC,CAST,,7.0,,385.0,C,25.0,794.0,,,,179.0,,,,10.1016/j.jmmm.2014.07.023,2014,2,Al0.75 Co1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.8585099591293718,0.14149004087062822,,,,Al0.75 Co1 Fe1 Ni1,1364.68,1441.62,7421.969267067488,9.530826119165641e-08,77.91649926052301,2433.00123745358,-96754.7023211922,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,,,,,,,,,,,,,,,,,,,1103.9522612222086,FCC+BCC,0,0,0,0,1,0,0,0,7.3715952150863,179.33333333333334,11.648,1601.864,1.6939822222222223,128.31666666666666,0.05794483155324039,67.33333333333333,156.53333333333333,2.324752475247525,7.799999999999999,1.3792922544726758,141.0,6.209281508345979,877.68,19.049999999999983,56.0,104.0,7.0
3,3,3,27,Al1 Co1 Fe1 Ni1,BCC,CAST,,6.6,,456.0,C,25.0,964.0,,,,173.0,,,,10.1016/j.jmmm.2014.07.023,2014,3,Al1 Co1 Fe1 Ni1,SS,BCC_B2#2,,,,,1.0,,,,,Al1 Co1 Fe1 Ni1,1411.37,1506.37,7271.157917304312,1.7691299836515978e-07,75.16487466376934,-5578.5351879615755,-101263.42063493996,0.25,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,1147.438821998342,BCC,1,0,0,0,0,0,0,0,7.079505139143408,172.5,11.045,1560.08,1.9761187500000004,129.245,0.062262132711620385,64.75,151.5,2.33976833976834,7.5,1.3862943611198906,141.0,6.209281508345979,877.68,19.049999999999983,56.0,104.0,7.0
4,4,4,27,Co1 Fe1 Ni1,FCC,CAST,,8.5,,125.0,C,25.0,204.0,,,,207.0,,,,10.1016/j.jmmm.2014.07.023,2014,4,Co1 Fe1 Ni1,SS,FCC_L12#1,,,,,1.0,,,,,Co1 Fe1 Ni1,1456.44,1456.71,8050.1899742390515,0.0,85.74441294646181,32507.232323115804,-76645.4053577301,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,24.066360677393803,FCC,0,0,0,1,0,0,0,0,8.539955518857877,206.66666666666666,14.059999999999999,1769.0,0.048088888888888875,124.60333333333332,0.00321174712185282,77.66666666666666,176.66666666666666,2.274678111587983,9.0,1.0986122886681096,11.0,1.030566679008885,83.0,0.9799999999999898,7.0,10.0,2.0
5,5,6,27,Co1 Fe1 Ni1 Si0.25,FCC,CAST,,7.7,,149.0,C,25.0,196.0,,,,194.0,,,,10.1016/j.jmmm.2014.07.023,2014,6,Co1 Fe1 Ni1 Si0.25,SS,FCC_L12#1,,,,,1.0,,,,,Co1 Fe1 Ni1 Si0.25,1350.82,1393.24,7784.159713713171,0.0,85.14997167664329,21723.332032215414,-86672.58191215151,,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.07692307692307693,,,,,,,,,,,,,,,,,,243.17689057082148,FCC,0,0,0,1,0,0,0,0,8.062175422178287,194.3846153846154,13.132307692307695,1762.6923076923078,2.0214224852071014,123.8876923076923,0.02024973591097083,71.6923076923077,170.76923076923077,2.3819742489270386,8.615384615384617,1.2852930241200995,164.0,6.578621246322763,124.0,9.799999999999997,82.0,80.0,6.0
6,6,7,27,Co1 Fe1 Ni1 Si0.5,FCC+Sec.,CAST,,7.1,,287.0,C,25.0,476.0,,,,,,,,10.1016/j.jmmm.2014.07.023,2014,7,Co1 Fe1 Ni1 Si0.5,SS+IM,FCC_L12#1,NI31SI12#1,,,,0.8744289015221055,0.12557109847789458,,,,Co1 Fe1 Ni1 Si0.5,1155.86,1288.97,7478.230593791316,0.0,83.00496463452592,13828.199948575057,-91837.12003117644,,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,,,,,,,,,,,,,,,,,,334.96065509436914,FCC+Sec.,0,0,0,0,0,1,0,0,7.652649625024353,183.85714285714286,12.337142857142858,1757.2857142857142,3.4505918367346946,123.27428571428571,0.026578977642089004,66.57142857142857,165.7142857142857,2.489270386266094,8.285714285714285,1.351783994289646,164.0,6.578621246322763,124.0,9.799999999999997,82.0,80.0,6.0
7,7,8,27,Co1 Fe1 Ni1 Si0.75,FCC+Sec.,CAST,,6.6,,570.0,C,25.0,1301.0,,,,,,,,10.1016/j.jmmm.2014.07.023,2014,8,Co1 Fe1 Ni1 Si0.75,SS+IM,CO2SI_C23#1,FCC_L12#1,NI31SI12#1,,,0.30018802287751484,0.6222676056292684,0.07754437149321672,,,Co1 Fe1 Ni1 Si0.75,1153.1,1169.94,7133.49140400425,0.0,80.32759021549836,7026.209803097841,-95230.81254123156,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.2,,,,,,,,,,,,,,,,,,386.1685157900543,FCC+Sec.,0,0,0,0,0,1,0,0,7.297727267490944,174.73333333333335,11.648000000000001,1752.6000000000001,4.49338488888889,122.74266666666666,0.03045810114269827,62.13333333333333,161.33333333333334,2.5965665236051505,7.999999999999999,1.3792922544726758,164.0,6.578621246322763,124.0,9.799999999999997,82.0,80.0,6.0
8,19,56,2,Al0.7 Co0.3 Cr1 Fe1 Ni1,FCC+BCC+B2,POWDER,,6.8,,624.0,C,25.0,2033.0,2635.0,8.0,,,,,,10.1016/j.matdes.2013.04.061,2013,56,Al0.7 Co0.3 Cr1 Fe1 Ni1,SS+IM,BCC_B2#1,BCC_B2#2,FCC_L12#1,,,0.417554651464651,0.528095829432332,0.054349519103016906,,,Al0.7 Co0.3 Cr1 Fe1 Ni1,1302.7,1349.06,7005.709133785598,3.493053646624566e-07,78.88210098423752,11166.919075865835,-89249.99547706851,0.175,0.075,0.25,0.25,,0.25,,,,,,,,,,,,,,,,,1120.8397423951676,FCC+Sec.,0,0,0,0,0,1,0,0,7.12884551204088,200.425,8.245000000000001,1725.681,1.4121974374999997,127.84225,0.05527551341413191,78.425,154.3,1.9674848581447244,7.199999999999999,1.5390104366336141,209.0,6.209281508345979,1246.6799999999998,19.049999999999983,89.0,104.0,7.0
9,33,82,8,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,BCC,CAST,,6.8,,569.0,C,25.0,1641.0,3285.0,,17.0,192.0,,,,10.1016/j.msea.2011.10.110,2011,82,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,SS+IM,BCC_B2#1,BCC_B2#2,C14_LAVES#1,SIGMA#1,,0.15865134352190913,0.7023785181976478,0.057813860284989575,0.08115627799545339,,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,1255.66,1392.95,7143.716332992038,3.758298740621968e-07,77.52098947953964,4680.386317181762,-94003.83329027225,0.19607843137254904,0.19607843137254904,0.19607843137254904,0.19607843137254904,,0.19607843137254904,,0.0196078431372549,,,,,,,,,,,,,,,1168.0711506580462,BCC,1,0,0,0,0,0,0,0,7.130898685731723,192.0588235294118,13.956862745098043,1704.9647058823534,1.7810676662821996,128.66274509803924,0.05908463833499134,74.07843137254902,153.52941176470588,2.0725251455796716,7.15686274509804,1.6743892670438891,209.0,6.209281508345979,1816.6799999999998,19.049999999999983,89.0,104.0,7.0
