,index,IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year,Unnamed: 0.1,alloy_names,structure,phase_1,phase_2,phase_3,phase_4,phase_5,vol_phase1,vol_phase2,vol_phase3,vol_phase4,vol_phase5,alloy,density_kgm3,solidus,liquidus,Ac_Al,entropy_jmol,enthalpy_jmol,gibbs_jmol,Al,Co,Fe,Ni,Si,Cr,Mn,Nb,Mo,Ti,Cu,C,V,Zr,B,Sn,Ta,Hf,W,Zn,Re,Y,Delta_SS,Phase_Weight_Min,Phase_BCC,Phase_BCC+BCC,Phase_BCC+Sec.,Phase_FCC,Phase_FCC+BCC,Phase_FCC+Sec.,Phase_No Data,Phase_Other,Density,Modulus,Cost,Tm,Misfit,Rbar,delta,shear,bulk,pugh,VEC,SMIX,ModulusMX,DensityMX,TmMX,R_MX,shearMX,bulkMX,VECMX
8,9,37,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,24.0,8.2,,,T,25.0,274.0,708.0,39.0,,225.0,,,,10.1016/j.actamat.2014.08.026,2014,9,Co1 Cr1 Fe1 Ni1,SS,FCC_L12#1,,,,,1.0,,,,,Co1 Cr1 Fe1 Ni1,1443.15,1446.49,7754.82119663362,0.0,87.01984222422941,35081.65101086715,-75694.60814057686,,0.25,0.25,0.25,,0.25,,,,,,,,,,,,,,,,,22.655654317059593,FCC,0,0,0,1,0,0,0,0,8.202891950346727,224.75,12.795,1871.75,0.07347500000000008,124.68,0.0029767955662328197,87.0,172.5,1.9827586206896552,8.25,1.3862943611198906,79.0,1.7157342635327018,452.0,0.9799999999999898,40.0,20.0,4.0
9,10,37,Co1 Cr1 Mn1 Ni1,FCC,WROUGHT,36.0,8.1,,,T,25.0,282.0,694.0,44.0,,222.0,,,,10.1016/j.actamat.2014.08.026,2014,10,Co1 Cr1 Mn1 Ni1,SS,FCC_L12#1,,,,,1.0,,,,,Co1 Cr1 Mn1 Ni1,1236.75,1277.31,7350.511682686302,0.0,87.4334503296302,31469.189830109037,-79833.59243951022,,0.25,,0.25,,0.25,0.25,,,,,,,,,,,,,,,,525.9240442226281,FCC,0,0,0,1,0,0,0,0,8.102314198794764,221.5,13.25,1798.75,0.11150000000000004,127.4,0.034471314580021506,66.5,160.0,2.406015037593985,8.0,1.3862943611198906,81.0,1.7157342635327018,661.0,10.409999999999997,115.0,60.0,4.0
10,11,37,Co1 Cr1 Ni1,FCC,WROUGHT,41.0,8.3,,,T,25.0,300.0,860.0,60.0,,229.0,,,,10.1016/j.actamat.2014.08.026,2014,11,Co1 Cr1 Ni1,SS,FCC_L12#1,,,,,1.0,,,,,Co1 Cr1 Ni1,1434.19,1440.17,7800.688665413716,0.0,83.30374815756097,34266.357459383136,-71779.313945192,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,,,,,,,10.744452717538962,FCC,0,0,0,1,0,0,0,0,8.311566324016603,229.3333333333333,17.0,1892.0,0.08106666666666681,124.86666666666666,0.0016853917904606894,88.66666666666666,173.33333333333331,1.954887218045113,8.333333333333332,1.0986122886681096,79.0,1.7157342635327018,452.0,0.5099999999999909,40.0,20.0,4.0
11,12,37,Co1 Fe1 Mn1 Ni1,FCC,WROUGHT,48.0,8.2,,,T,25.0,170.0,550.0,41.0,,205.0,,,,10.1016/j.actamat.2014.08.026,2014,12,Co1 Fe1 Mn1 Ni1,SS,FCC_L12#1,,,,,1.0,,,,,Co1 Fe1 Mn1 Ni1,1262.42,1303.71,7539.957031657788,0.0,90.63068437805366,31373.007364328038,-83999.85384893428,,0.25,0.25,0.25,,,0.25,,,,,,,,,,,,,,,,512.5805211888896,FCC,0,0,0,1,0,0,0,0,8.273606094925723,204.5,11.045,1706.5,0.09627499999999994,127.2025,0.03549623405780239,58.25,162.5,2.7896995708154506,8.5,1.3862943611198906,13.0,1.432877685216727,292.0,10.879999999999995,82.0,60.0,3.0
12,14,37,Co1 Mn1 Ni1,FCC,WROUGHT,32.0,8.4,,,T,25.0,231.0,653.0,38.0,,202.0,,,,10.1016/j.actamat.2014.08.026,2014,14,Co1 Mn1 Ni1,SS,FCC_L12#1,,,,,1.0,,,,,Co1 Mn1 Ni1,1183.3,1218.8,7549.550817281432,0.0,89.3350398867427,30399.364175374838,-83324.14160044862,,0.3333333333333333,,0.3333333333333333,,,0.3333333333333333,,,,,,,,,,,,,,,,491.12577436018415,FCC,0,0,0,1,0,0,0,0,8.405851850121927,202.3333333333333,14.666666666666664,1671.6666666666665,0.11626666666666655,128.23,0.03736753139391829,50.33333333333333,160.0,3.178807947019868,8.666666666666666,1.0986122886681096,11.0,1.432877685216727,249.0,10.409999999999997,76.0,60.0,3.0
13,15,37,Fe1 Mn1 Ni1,FCC,WROUGHT,30.0,8.1,,,T,25.0,221.0,602.0,36.0,,203.0,,,,10.1016/j.actamat.2014.08.026,2014,15,Fe1 Mn1 Ni1,SS,FCC_L12#1,,,,,1.0,,,,,Fe1 Mn1 Ni1,1214.79,1262.53,7297.068278701462,0.0,88.39916255867084,30862.793924227735,-81669.34001296024,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,,,,,,,,,,,,,,535.1229958701076,FCC,0,0,0,1,0,0,0,0,8.086287386937443,203.0,5.393333333333333,1686.0,0.09946666666666662,127.90333333333334,0.039262214981877167,52.66666666666666,156.66666666666666,2.9746835443037973,8.333333333333332,1.0986122886681096,13.0,1.432877685216727,292.0,10.879999999999995,82.0,60.0,3.0
14,16,46,Co1 Cr1 Fe1 Nb0.103 Ni1,FCC+Laves (C14),CAST,175.0,8.2,,,T,25.0,318.0,622.0,19.0,,,,,,10.1016/j.intermet.2015.01.004,2015,16,Co1 Cr1 Fe1 Nb0.103 Ni1,SS+IM,C14_LAVES#1,FCC_L12#1,,,,0.0466948202803312,0.9533051797196688,,,,Co1 Cr1 Fe1 Nb0.103 Ni1,1280.03,1406.82,7812.592816943658,0.0,87.02721931676592,33829.005476973645,-76956.64471326939,,0.2437241043139167,0.2437241043139167,0.2437241043139167,,0.2437241043139167,,0.025103582744333414,,,,,,,,,,,,,,,409.4788054101557,FCC+Sec.,0,0,0,0,0,1,0,0,8.212323943969567,221.74384596636608,16.992444552766273,1893.797221545211,0.4505820360900572,125.13738727760176,0.022965101498271728,85.76992444552766,172.43724104313918,2.0104627835209743,8.168413356080919,1.4687795170299998,174.0,1.7157342635327018,1022.0,18.78,77.0,20.0,5.0
15,17,46,Co1 Cr1 Fe1 Nb0.155 Ni1,FCC+Laves (C14),CAST,175.0,8.2,,,T,25.0,322.0,744.0,23.0,,,,,,10.1016/j.intermet.2015.01.004,2015,17,Co1 Cr1 Fe1 Nb0.155 Ni1,SS+IM,C14_LAVES#1,FCC_L12#1,,,,0.09475647458405384,0.905243525415946,,,,Co1 Cr1 Fe1 Nb0.155 Ni1,1276.6,1386.25,7856.326395855498,0.0,86.7570379627424,32944.80684862939,-77496.90247794168,,0.2406738868832732,0.2406738868832732,0.2406738868832732,,0.2406738868832732,,0.03730445246690735,,,,,,,,,,,,,,,521.3429212244656,FCC+Sec.,0,0,0,0,0,1,0,0,8.216908091443193,220.2827918170879,19.032490974729246,1904.5126353790615,0.6268163999994211,125.35968712394708,0.02769601921459163,85.17208182912155,172.40673886883275,2.024216564469185,8.128760529482554,1.4938602442207085,174.0,1.7157342635327018,1022.0,18.78,77.0,20.0,5.0
16,18,46,Co1 Cr1 Fe1 Nb0.206 Ni1,FCC+Laves (C14),CAST,175.0,8.2,,,T,25.0,403.0,807.0,9.0,,,,,,10.1016/j.intermet.2015.01.004,2015,18,Co1 Cr1 Fe1 Nb0.206 Ni1,SS+IM,C14_LAVES#1,FCC_L12#1,,,,0.14053238922766514,0.8594676107723349,,,,Co1 Cr1 Fe1 Nb0.206 Ni1,1276.4,1365.78,7898.212302020344,0.0,86.50032317991814,32101.994264820518,-78012.91714321531,,0.2377555872563005,0.2377555872563005,0.2377555872563005,,0.2377555872563005,,0.04897765097479792,,,,,,,,,,,,,,,612.465383174687,FCC+Sec.,0,0,0,0,0,1,0,0,8.22129398070075,218.88492629576803,20.984308131241086,1914.764621968616,0.7911136164196294,125.57237280076085,0.031447098268605325,84.6000951022349,172.37755587256302,2.0375574715873968,8.090822634331909,1.5138908449218933,174.0,1.7157342635327018,1022.0,18.78,77.0,20.0,5.0
17,19,46,Co1 Cr1 Fe1 Nb0.309 Ni1,FCC+Laves (C14),CAST,175.0,8.2,,,T,25.0,479.0,879.0,4.0,,,,,,10.1016/j.intermet.2015.01.004,2015,19,Co1 Cr1 Fe1 Nb0.309 Ni1,SS+IM,C14_LAVES#1,FCC_L12#1,,,,0.22912191902108825,0.7708780809789118,,,,Co1 Cr1 Fe1 Nb0.309 Ni1,1275.95,1323.77,7979.95094863625,0.0,86.00545571488333,30469.689305341035,-79015.25581970545,,0.23207240659085634,0.23207240659085634,0.23207240659085634,,0.23207240659085634,,0.0717103736365746,,,,,,,,,,,,,,,759.6622993919467,FCC+Sec.,0,0,0,0,0,1,0,0,8.22983518764158,216.16268275702018,24.78533302390345,1934.7296356463214,1.0989599073778509,125.9865630076584,0.03742051652067232,83.48619169180785,172.32072406590854,2.0640625781810296,8.016941285681133,1.5449235255271976,174.0,1.7157342635327018,1022.0,18.78,77.0,20.0,5.0
